Date,Close,Open,High,Low,Volume
26/07/21,2233.366699,2191.309814,2428.817139,2177.32959,29614324233
25/07/21,2191.373779,2187.145508,2194.438232,2108.829834,14566483636
24/07/21,2189.21875,2123.961182,2197.649414,2107.323486,16057446601
23/07/21,2124.776611,2025.105713,2129.441162,2000.436279,16200392492
22/07/21,2025.202759,1994.822876,2044.116455,1954.297852,17495480331
21/07/21,1990.970825,1786.276245,2025.68042,1759.023315,21253359756
20/07/21,1787.510742,1819.082031,1836.998047,1722.050781,17368597636
19/07/21,1817.296631,1893.053589,1916.118042,1807.909912,14157735481
18/07/21,1895.552124,1900.194336,1988.336426,1883.012573,13791868728
17/07/21,1898.825195,1876.881348,1917.5979,1855.59082,13364282076
16/07/21,1880.382935,1916.598389,1959.696289,1853.590332,14884569147
15/07/21,1911.175659,1994.712036,2037.742554,1883.272217,15688092552
14/07/21,1994.331299,1941.167847,2015.107422,1869.223145,17342819679
13/07/21,1940.083984,2034.098389,2040.693604,1922.577881,16621628658
12/07/21,2036.721069,2140.506836,2167.710205,2011.018921,17768129077
11/07/21,2139.664795,2110.875732,2172.65332,2083.803711,14705386138
10/07/21,2111.403564,2146.999756,2190.124023,2081.923584,17581542471
09/07/21,2146.692383,2115.573975,2185.376221,2051.06665,23029574602
08/07/21,2120.026367,2317.949219,2324.006836,2089.414307,23188123689
07/07/21,2315.161865,2323.208496,2403.773438,2298.026855,22398345285
06/07/21,2324.679443,2197.919434,2346.294922,2197.919434,20891861314
05/07/21,2198.58252,2321.922852,2321.922852,2163.041504,20103794829
04/07/21,2321.724121,2226.550293,2384.286865,2190.837646,18787107473
03/07/21,2226.114258,2150.834961,2237.567139,2117.590088,17433361641
02/07/21,2150.040283,2109.892578,2155.596436,2021.824829,31796212554
01/07/21,2113.605469,2274.397461,2274.397461,2081.081055,29061701793
30/06/21,2274.547607,2164.216309,2282.989014,2090.760742,25828056268
29/06/21,2160.768311,2083.44873,2242.23877,2076.240234,24815124419
28/06/21,2079.657471,1981.386475,2139.80542,1963.615479,25514602841
27/06/21,1978.894653,1830.996948,1979.95813,1811.24585,19885474742
26/06/21,1829.239258,1810.884277,1850.17981,1719.559448,20637542361
25/06/21,1813.217285,1989.21582,2017.759521,1794.400391,22774334998
24/06/21,1988.456299,1968.957397,2032.339355,1887.432007,20272845769
23/06/21,1989.736328,1878.625,2043.530396,1827.571533,28408659206
22/06/21,1874.950073,1886.667603,1993.15979,1707.600586,35547251725
21/06/21,1888.44751,2245.317871,2259.464111,1867.185425,33745173825
20/06/21,2246.364502,2171.337891,2275.382813,2049.962646,22535930423
19/06/21,2178.499023,2235.15918,2278.415039,2168.88501,18765854896
18/06/21,2231.733154,2374.586914,2377.195068,2147.30835,22752818388
17/06/21,2372.001953,2367.306396,2457.175537,2312.301514,21871633186
16/06/21,2367.663574,2544.864746,2554.628906,2354.350586,24101926180
15/06/21,2610.936768,2587.762695,2639.229248,2515.153076,29005279219
14/06/21,2537.891113,2508.770508,2606.432861,2469.388184,26964576331
13/06/21,2508.391602,2372.690186,2547.36792,2312.640137,27092945370
12/06/21,2372.484375,2354.752197,2447.227783,2265.758057,25724364410
11/06/21,2353.768799,2472.858887,2495.414795,2326.869629,24832564195
10/06/21,2471.518555,2611.142578,2619.957764,2435.401611,28753626390
09/06/21,2608.26709,2510.199219,2625.070557,2412.197754,36075832186
08/06/21,2517.438721,2594.602295,2620.846191,2315.546631,41909736778
07/06/21,2590.263184,2713.047363,2845.185059,2583.995117,30600111277
06/06/21,2715.092773,2629.748779,2743.441162,2616.162354,25311639414
05/06/21,2630.576904,2691.619385,2817.484863,2558.233643,30496672724
04/06/21,2688.195068,2857.165527,2857.165527,2562.637451,34173841611
03/06/21,2855.126465,2708.376221,2891.254883,2667.684326,30038207402
02/06/21,2706.125,2634.456055,2801.392334,2555.401367,27723267359
01/06/21,2633.518311,2707.560547,2739.737549,2531.160645,27363223090
31/05/21,2714.945313,2387.198486,2715.85498,2279.505127,31007383150
30/05/21,2390.30542,2278.288818,2472.187744,2188.834473,25876619428
29/05/21,2279.51416,2414.067139,2566.938477,2208.490967,33773720220
28/05/21,2419.90625,2742.468994,2761.363281,2336.361328,39999114805
27/05/21,2736.488525,2888.752441,2888.752441,2642.60791,33373635283
26/05/21,2888.69873,2707.052734,2911.735596,2652.094482,42499766020
25/05/21,2706.628906,2649.033203,2750.534912,2394.355469,49558333256
24/05/21,2643.591064,2099.936035,2672.595703,2090.639648,53697121740
23/05/21,2109.579834,2298.367188,2384.411621,1737.46875,56005721977
22/05/21,2295.705566,2436.014648,2483.983154,2168.124268,42089937660
21/05/21,2430.621338,2772.341309,2938.205078,2113.347168,53774070802
20/05/21,2784.294189,2439.638672,2993.145264,2170.229004,67610826680
19/05/21,2460.679199,3382.657227,3437.935791,1952.460205,84482912776
18/05/21,3380.070068,3276.872314,3562.465088,3246.404053,40416525218
17/05/21,3282.397705,3581.343018,3587.765625,3129.008789,54061732774
16/05/21,3587.506104,3641.830811,3878.895996,3350.95166,47359478734
15/05/21,3638.12207,4075.95166,4129.185547,3638.12207,42422321751
14/05/21,4079.057373,3720.122314,4171.01709,3703.399902,48174271215
13/05/21,3715.148438,3828.918457,4032.563477,3549.407227,78398214539
12/05/21,3785.848633,4174.635742,4362.350586,3785.848633,69023382175
11/05/21,4168.701172,3948.271973,4178.208984,3783.889404,52679737865
10/05/21,3952.293945,3924.41333,4197.473145,3684.45166,62691789007
09/05/21,3928.844727,3911.463135,3981.259033,3743.989014,50568290278
08/05/21,3902.647705,3481.988037,3950.165039,3453.768555,50208491286
07/05/21,3484.729004,3490.105225,3573.290039,3370.261963,39607240515
06/05/21,3490.880371,3524.930908,3598.895996,3386.23999,44300394788
05/05/21,3522.783203,3240.554688,3541.462646,3213.101563,48334198383
04/05/21,3253.629395,3431.131592,3523.585938,3180.742676,62402045158
03/05/21,3431.086182,2951.175781,3450.037842,2951.175781,49174290212
02/05/21,2952.056152,2945.560059,2984.891846,2860.526123,28032013047
01/05/21,2945.892822,2772.838379,2951.440918,2755.908447,28726205272
30/04/21,2773.207031,2757.734131,2796.054932,2728.169922,29777179889
29/04/21,2756.876953,2748.649658,2797.972412,2672.106689,32578127990
28/04/21,2746.380127,2664.685547,2757.477295,2564.081543,34269031076
