Date,Close,Open,High,Low,Vol.
"Jan 24, 2021","32,241.30","32,088.50","33,034.80","30,982.90",88.21K
"Jan 23, 2021","32,088.90","32,994.10","33,441.40","31,418.20",100.70K
"Jan 22, 2021","33,000.50","30,838.70","33,821.20","28,871.20",243.09K
"Jan 21, 2021","30,842.10","35,472.30","35,591.10","30,101.80",253.27K
"Jan 20, 2021","35,476.30","35,862.10","36,384.40","33,444.50",153.61K
"Jan 19, 2021","36,002.90","36,630.60","37,821.00","36,001.40",79.11K
"Jan 18, 2021","36,613.20","35,838.20","37,436.80","34,801.00",111.52K
"Jan 17, 2021","35,839.60","36,020.10","36,801.30","33,883.50",126.82K
"Jan 16, 2021","36,019.50","36,751.80","37,931.70","35,408.40",137.02K
"Jan 15, 2021","36,845.80","39,175.70","39,715.00","34,488.70",118.42K
"Jan 14, 2021","39,175.70","37,383.40","40,054.30","36,772.10",172.40K
"Jan 13, 2021","37,382.20","34,061.20","37,764.60","32,451.90",209.93K
"Jan 12, 2021","34,076.10","35,426.00","36,598.70","32,572.70",241.93K
"Jan 11, 2021","35,544.30","38,195.30","38,217.20","30,411.60",251.04K
"Jan 10, 2021","38,192.20","40,149.70","41,362.40","35,141.60",215.78K
"Jan 09, 2021","40,151.90","40,607.20","41,363.50","38,775.10",128.42K
"Jan 08, 2021","40,599.30","39,466.40","41,921.70","36,613.40",251.29K
"Jan 07, 2021","39,460.20","36,798.50","40,340.90","36,361.20",249.60K
"Jan 06, 2021","36,793.20","33,999.30","36,934.80","33,408.30",227.56K
"Jan 05, 2021","33,991.50","32,015.40","34,414.70","30,010.50",202.13K
"Jan 04, 2021","32,022.60","33,016.60","33,587.50","28,204.50",255.27K
"Jan 03, 2021","32,958.90","32,192.90","34,755.90","32,029.60",155.21K
"Jan 02, 2021","32,193.30","29,359.70","33,233.50","29,008.00",240.87K
"Jan 01, 2021","29,359.90","28,951.70","29,627.10","28,712.40",100.90K
"Dec 31, 2020","28,949.40","28,866.80","29,298.80","28,025.00",136.69K
"Dec 30, 2020","28,868.70","27,374.50","28,979.30","27,374.50",159.82K
"Dec 29, 2020","27,376.00","27,065.30","27,390.70","25,902.80",119.57K
"Dec 28, 2020","27,057.80","26,259.20","27,444.90","26,144.30",126.98K
"Dec 27, 2020","26,261.30","26,460.30","28,360.30","25,858.20",231.23K
"Dec 26, 2020","26,454.40","24,714.70","26,826.00","24,515.10",155.77K
"Dec 25, 2020","24,689.60","23,728.70","24,778.90","23,445.30",2.40K
